District Code,District Name,Content,Grade,2025,2024,2023
0000,All Districts,English Language Arts,All Grades,44.8,44.1,43.7
0000,All Districts,English Language Arts,03,42.0,42.1,39.9
0000,All Districts,English Language Arts,04,42.0,42.0,43.8
0000,All Districts,English Language Arts,05,48.0,47.3,47.8
0000,All Districts,English Language Arts,06,44.2,44.0,43.4
0000,All Districts,English Language Arts,07,48.8,46.3,45.0
0000,All Districts,English Language Arts,08,43.9,42.8,42.4
0000,All Districts,Spanish Language Arts,All Grades,14.9,16.7,16.7
0000,All Districts,Spanish Language Arts,03,16.5,17.2,18.7
0000,All Districts,Spanish Language Arts,04,13.1,15.9,14.2
0000,All Districts,Mathematics,All Grades,35.9,34.2,32.9
0000,All Districts,Mathematics,03,41.2,41.7,40.4
0000,All Districts,Mathematics,04,36.5,34.1,32.7
0000,All Districts,Mathematics,05,39.1,37.3,36.5
0000,All Districts,Mathematics,06,31.4,29.2,28.2
0000,All Districts,Mathematics,07,31.8,29.8,26.3
0000,All Districts,Mathematics,08,34.7,32.5,32.7
0010,Mapleton 1,English Language Arts,All Grades,23.9,21.9,21.8
0010,Mapleton 1,English Language Arts,03,24.6,18.1,17.8
0010,Mapleton 1,English Language Arts,04,18.6,18.5,20.6
0010,Mapleton 1,English Language Arts,05,28.5,24.0,25.9
0010,Mapleton 1,English Language Arts,06,25.2,23.1,21.3
0010,Mapleton 1,English Language Arts,07,28.4,22.8,24.9
0010,Mapleton 1,English Language Arts,08,18.2,24.7,20.1
0010,Mapleton 1,Spanish Language Arts,All Grades,15.2,18.5,- -
0010,Mapleton 1,Spanish Language Arts,03,- -,18.5,- -
0010,Mapleton 1,Spanish Language Arts,04,- -,N/A,N/A
0010,Mapleton 1,Mathematics,All Grades,17.0,13.9,13.8
0010,Mapleton 1,Mathematics,03,26.3,20.7,24.1
0010,Mapleton 1,Mathematics,04,19.9,17.0,12.0
0010,Mapleton 1,Mathematics,05,23.3,17.0,17.1
0010,Mapleton 1,Mathematics,06,14.1,10.2,12.3
0010,Mapleton 1,Mathematics,07,8.4,7.4,10.1
0010,Mapleton 1,Mathematics,08,9.1,11.0,8.5
0020,Adams 12 Five Star Schools,English Language Arts,All Grades,42.2,41.4,40.9
0020,Adams 12 Five Star Schools,English Language Arts,03,41.2,40.9,38.7
0020,Adams 12 Five Star Schools,English Language Arts,04,40.7,38.8,43.5
0020,Adams 12 Five Star Schools,English Language Arts,05,46.5,45.1,44.2
0020,Adams 12 Five Star Schools,English Language Arts,06,40.6,39.6,38.3
0020,Adams 12 Five Star Schools,English Language Arts,07,43.2,43.4,43.2
0020,Adams 12 Five Star Schools,English Language Arts,08,41.2,40.6,36.9
0020,Adams 12 Five Star Schools,Spanish Language Arts,All Grades,- -,- -,- -
0020,Adams 12 Five Star Schools,Spanish Language Arts,03,- -,- -,- -
0020,Adams 12 Five Star Schools,Spanish Language Arts,04,- -,- -,- -
