FISCAL_YEAR,ORG_CODE,GRANT_TYPE,AMOUNT,TOTAL_STUDENTS,NON_CHARTER_STUDENTS,CHARTER_STUDENTS,PER_PUPIL
2023-2024,0010,Federal," 	3,687,304.37 "," 	7,017 "," 	7,017 ", 	-   , 	525 
2023-2024,0010,State/Local," 	100,775,504.76 "," 	7,017 "," 	7,017 ", 	-   ," 	14,362 "
2023-2024,0020,Federal," 	35,261,832.71 "," 	34,998 "," 	31,184 "," 	3,814 "," 	1,008 "
2023-2024,0020,State/Local," 	520,680,347.43 "," 	34,998 "," 	31,184 "," 	3,814 "," 	14,877 "
2023-2024,0030,Federal," 	10,899,608.46 "," 	5,484 "," 	5,484 ", 	-   ," 	1,988 "
2023-2024,0030,State/Local," 	86,389,784.87 "," 	5,484 "," 	5,484 ", 	-   ," 	15,753 "
2023-2024,0040,Federal," 	10,173,865.89 "," 	23,139 "," 	18,860 "," 	4,279 ", 	440 
2023-2024,0040,State/Local," 	249,624,488.30 "," 	23,139 "," 	18,860 "," 	4,279 "," 	10,788 "
2023-2024,0050,Federal," 	790,541.79 "," 	1,645 "," 	1,280 ", 	365 , 	481 
2023-2024,0050,State/Local," 	22,472,842.88 "," 	1,645 "," 	1,280 ", 	365 ," 	13,661 "
2023-2024,0060,Federal," 	253,291.35 "," 	1,187 "," 	1,187 ", 	-   , 	213 
2023-2024,0060,State/Local," 	15,106,533.03 "," 	1,187 "," 	1,187 ", 	-   ," 	12,727 "
2023-2024,0070,Federal," 	9,551,180.94 "," 	7,631 "," 	7,631 ", 	-   ," 	1,252 "
2023-2024,0070,State/Local," 	131,208,525.09 "," 	7,631 "," 	7,631 ", 	-   ," 	17,194 "
2023-2024,0100,Federal," 	2,639,587.70 "," 	2,056 "," 	2,056 ", 	-   ," 	1,284 "
2023-2024,0100,State/Local," 	28,048,839.84 "," 	2,056 "," 	2,056 ", 	-   ," 	13,642 "
2023-2024,0110,Federal," 	337,550.21 ", 	277 , 	277 , 	-   ," 	1,219 "
2023-2024,0110,State/Local," 	4,095,493.08 ", 	277 , 	277 , 	-   ," 	14,785 "
2023-2024,0120,Federal," 	3,741,218.76 "," 	2,368 "," 	2,368 ", 	-   ," 	1,580 "
2023-2024,0120,State/Local," 	38,047,177.98 "," 	2,368 "," 	2,368 ", 	-   ," 	16,067 "
2023-2024,0123,Federal," 	5,462,589.25 "," 	1,058 "," 	1,058 ", 	-   ," 	5,163 "
2023-2024,0123,State/Local," 	21,421,105.75 "," 	1,058 "," 	1,058 ", 	-   ," 	20,247 "
2023-2024,0130,Federal," 	38,391,679.28 "," 	52,455 "," 	51,258 "," 	1,197 ", 	732 
2023-2024,0130,State/Local," 	854,145,709.18 "," 	52,455 "," 	51,258 "," 	1,197 "," 	16,283 "
2023-2024,0140,Federal," 	6,653,446.76 "," 	13,251 "," 	12,277 ", 	974 , 	502 
2023-2024,0140,State/Local," 	215,034,791.47 "," 	13,251 "," 	12,277 ", 	974 ," 	16,228 "
2023-2024,0170,Federal," 	197,383.09 ", 	361 , 	361 , 	-   , 	547 
2023-2024,0170,State/Local," 	5,145,338.09 ", 	361 , 	361 , 	-   ," 	14,253 "
2023-2024,0180,Federal," 	58,352,247.40 "," 	39,148 "," 	32,618 "," 	6,530 "," 	1,491 "
2023-2024,0180,State/Local," 	663,027,305.13 "," 	39,148 "," 	32,618 "," 	6,530 "," 	16,936 "
2023-2024,0190,Federal," 	1,664,002.22 "," 	6,456 "," 	6,456 ", 	-   , 	258 
2023-2024,0190,State/Local," 	64,830,815.45 "," 	6,456 "," 	6,456 ", 	-   ," 	10,042 "
2023-2024,0220,Federal," 	2,007,889.59 "," 	1,604 "," 	1,498 ", 	106 ," 	1,252 "
2023-2024,0220,State/Local," 	21,838,823.39 "," 	1,604 "," 	1,498 ", 	106 ," 	13,615 "
2023-2024,0230,Federal," 	89,141.28 ", 	182 , 	182 , 	-   , 	490 
2023-2024,0230,State/Local," 	27,469,783.11 ", 	182 , 	182 , 	-   ," 	150,933 "
2023-2024,0240,Federal," 	76,448.41 ", 	61 , 	61 , 	-   ," 	1,253 "
2023-2024,0240,State/Local," 	1,317,058.96 ", 	61 , 	61 , 	-   ," 	21,591 "
2023-2024,0250,Federal," 	297,116.92 ", 	305 , 	305 , 	-   , 	974 
