Organization Code,Organization Name,Amer Indian/Alaskan Native,Asian,Black or African American,Hispanic or Latino,White,Native Hawaii/Pacific Islander,Two or More Races,Total PK-12 Pupil Count,Total Minority Count,Percent Minority
0010,Mapleton 1,22,200,84,"5,743",888,6,152,"7,095","6,207",87.5%
0020,Adams 12 Five Star Schools,144,"2,546",532,"15,899","13,503",37,"1,805","34,466","20,963",60.8%
0030,Adams County 14,16,15,89,"4,642",399,7,53,"5,221","4,822",92.4%
0040,School District 27J,88,938,763,"12,484","8,761",75,905,"24,014","15,253",63.5%
0050,Bennett 29J,26,26,116,808,684,7,126,"1,793","1,109",61.9%
0060,Strasburg 31J,2,10,20,439,656,3,50,"1,180",524,44.4%
0070,Westminster Public Schools,41,224,116,"6,099","1,038",43,163,"7,724","6,686",86.6%
0100,Alamosa RE-11J,28,12,22,"1,306",617,7,46,"2,038","1,421",69.7%
0110,Sangre De Cristo Re-22J,8,0,0,53,191,1,3,256,65,25.4%
0120,Englewood 1,14,25,125,"1,065","1,055",10,112,"2,406","1,351",56.2%
0123,Sheridan 2,4,21,33,803,133,5,19,"1,018",885,86.9%
0130,Cherry Creek 5,208,"4,603","6,067","12,882","23,606",159,"5,147","52,672","29,066",55.2%
0140,Littleton 6,36,292,178,"2,367","9,475",23,739,"13,110","3,635",27.7%
0170,Deer Trail 26J,0,0,12,151,151,6,7,327,176,53.8%
0180,Adams-Arapahoe 28J,252,"1,895","6,597","23,122","5,290",359,"2,298","39,813","34,523",86.7%
0190,Byers 32J,73,118,568,"2,436","3,575",72,11,"6,853","3,278",47.8%
0220,Archuleta County 50 Jt,95,9,7,527,887,0,63,"1,588",701,44.1%
0230,Walsh RE-1,2,0,2,32,139,0,2,177,38,21.5%
0240,Pritchett RE-3,0,0,0,4,60,0,0,64,4,6.3%
0250,Springfield RE-4,4,0,0,38,214,0,28,284,70,24.6%
0260,Vilas RE-5,0,0,0,14,38,0,2,54,16,29.6%
0270,Campo RE-6,0,0,0,2,35,0,10,47,12,25.5%
0290,Las Animas RE-1,2,1,18,556,316,1,12,906,590,65.1%
0310,McClave Re-2,0,0,0,58,169,0,4,231,62,26.8%
0470,St Vrain Valley RE1J,82,"1,137",290,"10,168","19,358",30,"1,349","32,414","13,056",40.3%
0480,Boulder Valley Re 2,66,"1,575",311,"6,022","18,139",32,"1,846","27,991","9,852",35.2%
0490,Buena Vista R-31,6,8,6,148,731,0,26,925,194,21.0%
0500,Salida R-32,1,5,7,199,"1,089",1,53,"1,355",266,19.6%
0510,Kit Carson R-1,1,0,1,20,81,0,6,109,28,25.7%
0520,Cheyenne County Re-5,0,0,0,38,135,0,2,175,40,22.9%
0540,Clear Creek RE-1,9,7,6,74,499,1,38,634,135,21.3%
0550,North Conejos RE-1J,0,1,1,482,439,1,3,927,488,52.6%
0560,Sanford 6J,0,0,4,121,257,0,2,384,127,33.1%
0580,South Conejos RE-10,0,0,1,180,14,0,1,196,182,92.9%
0640,Centennial R-1,0,0,1,152,33,0,0,186,153,82.3%
0740,Sierra Grande R-30,1,0,2,244,48,0,12,307,259,84.4%
0770,Crowley County RE-1-J,2,1,6,134,178,0,11,332,154,46.4%
0860,Custer County School District C-1,2,1,4,33,264,0,18,322,58,18.0%
0870,Delta County 50(J),9,44,12,"1,113","3,149",1,196,"4,524","1,375",30.4%
0880,Denver County 1,451,"2,859","11,663","47,661","22,429",877,"4,510","90,450","68,021",75.2%
0890,Dolores County RE No.2,0,0,0,17,240,0,5,262,22,8.4%
0900,Douglas County Re 1,236,"4,678","1,028","10,274","41,451",82,"4,102","61,851","20,400",33.0%
0910,Eagle County RE 50,17,42,34,"3,418","2,657",1,143,"6,312","3,655",57.9%
0920,Elizabeth School District,19,25,14,360,"2,147",5,97,"2,667",520,19.5%
0930,Kiowa C-2,2,0,3,43,240,1,3,292,52,17.8%
0940,Big Sandy 100J,0,1,0,45,274,0,9,329,55,16.7%
0950,Elbert 200,1,1,0,24,240,2,9,277,37,13.4%
0960,Agate 300,0,0,0,24,58,0,3,85,27,31.8%
0970,Calhan RJ-1,1,2,30,25,352,0,4,414,62,15.0%
0980,Harrison 2,60,290,"1,415","6,547","2,930",65,994,"12,301","9,371",76.2%
0990,Widefield 3,50,133,944,"3,188","3,808",115,"1,054","9,292","5,484",59.0%
1000,Fountain 8,80,130,800,"2,454","3,432",173,886,"7,955","4,523",56.9%
1010,Colorado Springs 11,112,262,"1,433","8,051","10,269",80,"2,058","22,265","11,996",53.9%
1020,Cheyenne Mountain 12,18,109,70,598,"2,607",14,309,"3,725","1,118",30.0%
1030,Manitou Springs 14,4,8,17,118,906,0,94,"1,147",241,21.0%
1040,Academy 20,76,"1,126",855,"4,552","17,579",65,"2,316","26,569","8,990",33.8%
1050,Ellicott 22,4,2,29,420,480,2,72,"1,009",529,52.4%
1060,Peyton 23 Jt,0,5,12,89,461,1,31,599,138,23.0%
1070,Hanover 28,1,1,6,99,144,6,7,264,120,45.5%
1080,Lewis-Palmer 38,21,106,91,875,"4,958",6,477,"6,534","1,576",24.1%
1110,District 49,179,476,"1,301","8,526","13,415",82,"2,670","26,649","13,234",49.7%
1120,Edison 54 JT,0,3,1,17,64,0,3,88,24,27.3%
1130,Miami/Yoder 60 JT,0,1,4,112,263,0,18,398,135,33.9%
1140,Canon City RE-1,14,12,26,505,"2,468",5,165,"3,195",727,22.8%
1150,Fremont RE-2,9,12,4,266,951,0,52,"1,294",343,26.5%
1160,Cotopaxi RE-3,1,0,0,14,134,0,6,155,21,13.5%
1180,Roaring Fork RE-1,13,25,19,"3,311","2,356",2,116,"5,842","3,486",59.7%
1195,Garfield Re-2,8,12,17,"2,687","1,890",0,81,"4,695","2,805",59.7%
1220,Garfield 16,4,4,7,579,588,1,29,"1,212",624,51.5%
