LEA,LEA Name,Position Category,Rural Status,2023-2024 Headcount,2024-2025 Headcount,Difference,People Returned,People Left ,New People,Turnover Rate,
0010,Mapleton 1,Adminstrators,Non-Rural,20,15,-5,13,7,2,35.00%,
0010,Mapleton 1,Crafts/Trades/Services,Non-Rural,130,152,22,119,11,33,8.46%,
0010,Mapleton 1,Instructional Support,Non-Rural,36,44,8,23,13,21,36.11%,
0010,Mapleton 1,Office/Administrative Support,Non-Rural,63,64,1,52,11,12,17.46%,
0010,Mapleton 1,Other Support/Special Service Providers,Non-Rural,38,33,-5,28,10,5,26.32%,
0010,Mapleton 1,Paraprofessional,Non-Rural,145,157,12,118,27,39,18.62%,
0010,Mapleton 1,Principals,Non-Rural,38,38,0,36,2,2,5.26%,
0010,Mapleton 1,Professional-Other,Non-Rural,54,49,-5,35,19,14,35.19%,
0010,Mapleton 1,Teachers,Non-Rural,404,414,10,322,82,92,20.30%,
0010,Mapleton 1 Total,0010 All Job Catagories,Non-Rural,928,966,38,746,182,220,19.61%,
0020,Adams 12 Five Star Schools,Adminstrators,Non-Rural,22,25,3,19,3,6,13.64%,
0020,Adams 12 Five Star Schools,Crafts/Trades/Services,Non-Rural,643,617,-26,511,132,106,20.53%,
0020,Adams 12 Five Star Schools,Instructional Support,Non-Rural,375,378,3,315,60,63,16.00%,
0020,Adams 12 Five Star Schools,Office/Administrative Support,Non-Rural,284,275,-9,236,48,39,16.90%,
0020,Adams 12 Five Star Schools,Other Support/Special Service Providers,Non-Rural,253,255,2,199,54,56,21.34%,
0020,Adams 12 Five Star Schools,Paraprofessional,Non-Rural,970,960,-10,738,232,222,23.92%,
0020,Adams 12 Five Star Schools,Principals,Non-Rural,140,137,-3,120,20,17,14.29%,
0020,Adams 12 Five Star Schools,Professional-Other,Non-Rural,321,310,-11,259,62,51,19.31%,
0020,Adams 12 Five Star Schools,Teachers,Non-Rural,2080,2050,-30,1757,323,293,15.53%,
