School Year,LEA,LEA Name,PK-12 Count,Teacher FTE,Pupil/Teacher FTE Ratio
2024-2025,0010,Mapleton 1,7095,404.6,18:1
2024-2025,0020,Adams 12 Five Star Schools,34466,2019.5,17:1
2024-2025,0030,Adams County 14,5221,318.9,16:1
2024-2025,0040,School District 27J,24014,1231,20:1
2024-2025,0050,Bennett 29J,1793,91,20:1
2024-2025,0060,Strasburg 31J,1180,66.7,18:1
2024-2025,0070,Westminster Public Schools,7724,428.4,18:1
2024-2025,0100,Alamosa RE-11J,2038,139.1,15:1
2024-2025,0110,Sangre De Cristo Re-22J,256,24.9,10:1
2024-2025,0120,Englewood 1,2406,165.7,15:1
2024-2025,0123,Sheridan 2,1018,68.1,15:1
2024-2025,0130,Cherry Creek 5,52672,3213.7,16:1
2024-2025,0140,Littleton 6,13110,766.3,17:1
2024-2025,0170,Deer Trail 26J,327,28,12:1
2024-2025,0180,Adams-Arapahoe 28J,39813,2338.4,17:1
2024-2025,0190,Byers 32J,6853,166.7,41:1
2024-2025,0220,Archuleta County 50 Jt,1588,112.8,14:1
2024-2025,0230,Walsh RE-1,177,16.4,11:1
2024-2025,0240,Pritchett RE-3,64,9.6,7:1
2024-2025,0250,Springfield RE-4,284,29.8,10:1
2024-2025,0260,Vilas RE-5,54,8,7:1
2024-2025,0270,Campo RE-6,47,5.7,8:1
2024-2025,0290,Las Animas RE-1,906,37.3,24:1
2024-2025,0310,McClave Re-2,231,19.9,12:1
2024-2025,0470,St Vrain Valley RE1J,32414,1956.7,17:1
2024-2025,0480,Boulder Valley Re 2,27991,1591.6,18:1
2024-2025,0490,Buena Vista R-31,925,73.4,13:1
2024-2025,0500,Salida R-32,1355,101.8,13:1
2024-2025,0510,Kit Carson R-1,109,15.6,7:1
2024-2025,0520,Cheyenne County Re-5,175,16.4,11:1
2024-2025,0540,Clear Creek RE-1,634,50.9,12:1
2024-2025,0550,North Conejos RE-1J,927,67.6,14:1
2024-2025,0560,Sanford 6J,384,24.7,16:1
2024-2025,0580,South Conejos RE-10,196,17,12:1
2024-2025,0640,Centennial R-1,186,15.3,12:1
2024-2025,0740,Sierra Grande R-30,307,14.1,22:1
2024-2025,0770,Crowley County RE-1-J,332,21.7,15:1
2024-2025,0860,Custer County School District C-1,322,29.4,11:1
2024-2025,0870,Delta County 50(J),4524,263.5,17:1
2024-2025,0880,Denver County 1,90450,6047,15:1
2024-2025,0890,Dolores County RE No.2,262,20.7,13:1
2024-2025,0900,Douglas County Re 1,61851,3515.3,18:1
2024-2025,0910,Eagle County RE 50,6312,499.1,13:1
2024-2025,0920,Elizabeth School District,2667,143.6,19:1
2024-2025,0930,Kiowa C-2,292,25.9,11:1
2024-2025,0940,Big Sandy 100J,329,31.6,10:1
2024-2025,0950,Elbert 200,277,23.7,12:1
2024-2025,0960,Agate 300,85,8.9,10:1
2024-2025,0970,Calhan RJ-1,414,37.2,11:1
2024-2025,0980,Harrison 2,12301,827.8,15:1
2024-2025,0990,Widefield 3,9292,586.8,16:1
2024-2025,1000,Fountain 8,7955,484.2,16:1
2024-2025,1010,Colorado Springs 11,22265,1494.3,15:1
2024-2025,1020,Cheyenne Mountain 12,3725,248.7,15:1
2024-2025,1030,Manitou Springs 14,1147,93.9,12:1
2024-2025,1040,Academy 20,26569,1570.2,17:1
2024-2025,1050,Ellicott 22,1009,71.1,14:1
2024-2025,1060,Peyton 23 Jt,599,41.8,14:1
2024-2025,1070,Hanover 28,264,19.6,13:1
2024-2025,1080,Lewis-Palmer 38,6534,369.6,18:1
2024-2025,1110,District 49,26649,1382.1,19:1
2024-2025,1120,Edison 54 JT,88,8,11:1
2024-2025,1130,Miami/Yoder 60 JT,398,20.6,19:1
2024-2025,1140,Canon City RE-1,3195,212.5,15:1
2024-2025,1150,Fremont RE-2,1294,85.6,15:1
2024-2025,1160,Cotopaxi RE-3,155,16.2,10:1
2024-2025,1180,Roaring Fork RE-1,5842,410,14:1
2024-2025,1195,Garfield Re-2,4695,269,17:1
2024-2025,1220,Garfield 16,1212,79,15:1
2024-2025,1330,Gilpin County RE-1,392,28.5,14:1
2024-2025,1340,West Grand 1-JT,389,32.6,12:1
2024-2025,1350,East Grand 2,1301,102.5,13:1
2024-2025,1360,Gunnison Watershed RE1J,2096,142.5,15:1
2024-2025,1380,Hinsdale County RE 1,75,10.8,7:1
2024-2025,1390,Huerfano Re-1,443,30.7,14:1
2024-2025,1400,La Veta Re-2,238,16.5,14:1
2024-2025,1410,North Park R-1,144,12.7,11:1
2024-2025,1420,Jefferson County R-1,75495,4413.7,17:1
2024-2025,1430,Eads RE-1,211,18.2,12:1
2024-2025,1440,Plainview RE-2,32,7.7,4:1
2024-2025,1450,Arriba-Flagler C-20,188,16.6,11:1
2024-2025,1460,Hi-Plains R-23,96,14.7,7:1
2024-2025,1480,Stratton R-4,220,17.2,13:1
2024-2025,1490,Bethune R-5,99,12.7,8:1
2024-2025,1500,Burlington RE-6J,742,45.9,16:1
2024-2025,1510,Lake County R-1,949,59.3,16:1
2024-2025,1520,Durango 9-R,4492,339.9,13:1
2024-2025,1530,Bayfield 10 Jt-R,1183,99.1,12:1
2024-2025,1540,Ignacio 11 JT,633,61.2,10:1
2024-2025,1550,Poudre R-1,29544,1874.7,16:1
2024-2025,1560,Thompson R2-J,14751,933.5,16:1
2024-2025,1570,Estes Park R-3,956,69.3,14:1
2024-2025,1580,Trinidad 1,769,43.9,18:1
2024-2025,1590,Primero Reorganized 2,214,15.6,14:1
2024-2025,1600,Hoehne Reorganized 3,271,16.5,16:1
2024-2025,1620,Aguilar Reorganized 6,127,11.8,11:1
2024-2025,1750,Branson Reorganized 82,465,35.8,13:1
2024-2025,1760,Kim Reorganized 88,25,7.5,3:1
2024-2025,1780,Genoa-Hugo C113,220,17.4,13:1
2024-2025,1790,Limon RE-4J,451,31.5,14:1
2024-2025,1810,Karval RE-23,30,5.2,6:1
2024-2025,1828,Valley RE-1,1910,129.8,15:1
2024-2025,1850,Frenchman RE-3,222,18.4,12:1
2024-2025,1860,Buffalo RE-4J,314,20.3,15:1
2024-2025,1870,Plateau RE-5,205,16.3,13:1
2024-2025,1980,De Beque 49JT,181,13.5,13:1
2024-2025,1990,Plateau Valley 50,303,23.8,13:1
2024-2025,2000,Mesa County Valley 51,19900,1260.9,16:1
2024-2025,2010,Creede School District,92,15.4,6:1
2024-2025,2020,Moffat County RE: No 1,1821,134.9,13:1
2024-2025,2035,Montezuma-Cortez RE-1,2386,150.2,16:1
2024-2025,2055,Dolores RE-4A,668,52.8,13:1
2024-2025,2070,Mancos Re-6,511,34.6,15:1
2024-2025,2180,Montrose County RE-1J,5991,352.5,17:1
2024-2025,2190,West End RE-2,260,18.9,14:1
2024-2025,2395,Brush RE-2(J),1421,83.1,17:1
2024-2025,2405,Fort Morgan Re-3,3451,229.7,15:1
2024-2025,2505,Weldon Valley RE-20(J),215,18.7,11:1
2024-2025,2515,Wiggins RE-50(J),913,56.5,16:1
2024-2025,2520,East Otero R-1,1284,90.6,14:1
2024-2025,2530,Rocky Ford R-2,576,51.2,11:1
2024-2025,2535,Manzanola 3J,175,14.7,12:1
2024-2025,2540,Fowler R-4J,342,34.9,10:1
2024-2025,2560,Cheraw 31,210,13.6,15:1
2024-2025,2570,Swink 33,290,24.3,12:1
2024-2025,2580,Ouray R-1,180,21.5,8:1
2024-2025,2590,Ridgway R-2,321,30.5,11:1
2024-2025,2600,Platte Canyon 1,688,53.2,13:1
2024-2025,2610,Park County RE-2,576,34.4,17:1
2024-2025,2620,Holyoke Re-1J,514,44.4,12:1
2024-2025,2630,Haxtun RE-2J,298,24,12:1
2024-2025,2640,Aspen 1,1584,128.1,12:1
2024-2025,2650,Granada RE-1,210,21.5,10:1
2024-2025,2660,Lamar Re-2,1397,92.9,15:1
2024-2025,2670,Holly RE-3,276,20,14:1
2024-2025,2680,Wiley RE-13 Jt,270,24.6,11:1
2024-2025,2690,Pueblo City 60,14089,845.1,17:1
2024-2025,2700,Pueblo County 70,10392,563.4,18:1
2024-2025,2710,Meeker RE-1,677,48.2,14:1
2024-2025,2720,Rangely RE-4,485,38.3,13:1
2024-2025,2730,Upper Rio Grande School District C-7,360,35.5,10:1
2024-2025,2740,Monte Vista C-8,975,77.7,13:1
2024-2025,2750,Sargent RE-33J,293,24.7,12:1
2024-2025,2760,Hayden RE-1,444,33.1,13:1
2024-2025,2770,Steamboat Springs RE-2,2517,194.5,13:1
2024-2025,2780,South Routt RE 3,327,26.5,12:1
2024-2025,2790,Mountain Valley RE 1,207,12.5,17:1
2024-2025,2800,Moffat 2,204,17.7,12:1
2024-2025,2810,Center 26 JT,628,45.7,14:1
2024-2025,2820,Silverton 1,72,7.2,10:1
2024-2025,2830,Telluride R-1,802,64.2,12:1
2024-2025,2840,Norwood R-2J,191,16.7,11:1
2024-2025,2862,Julesburg Re-1,668,29.7,22:1
2024-2025,2865,Revere School District,144,15.8,9:1
2024-2025,3000,Summit RE-1,3475,273.2,13:1
2024-2025,3010,Cripple Creek-Victor RE-1,298,18.9,16:1
2024-2025,3020,Woodland Park Re-2,1844,123.7,15:1
2024-2025,3030,Akron R-1,411,36.6,11:1
2024-2025,3040,Arickaree R-2,82,9.5,9:1
2024-2025,3050,Otis R-3,192,17.5,11:1
2024-2025,3060,Lone Star 101,119,11,11:1
2024-2025,3070,Woodlin R-104,74,8.5,9:1
2024-2025,3080,Weld County RE-1,1727,128.9,13:1
2024-2025,3085,Eaton RE-2,2000,127.2,16:1
2024-2025,3090,Weld County School District RE-3J,2666,172.4,15:1
2024-2025,3100,Weld RE-4,8733,519,17:1
2024-2025,3110,Johnstown-Milliken RE-5J,4055,235,17:1
2024-2025,3120,Greeley 6,23124,1240.4,19:1
2024-2025,3130,Platte Valley RE-7,1195,83.4,14:1
2024-2025,3140,Weld Re-8 Schools,2503,148.2,17:1
2024-2025,3145,Ault-Highland RE-9,976,64.2,15:1
2024-2025,3146,Briggsdale RE-10,172,20.4,8:1
2024-2025,3147,Prairie RE-11,163,16.3,10:1
2024-2025,3148,Pawnee RE-12,61,10.4,6:1
2024-2025,3200,Yuma 1,802,61.2,13:1
2024-2025,3210,Wray RD-2,738,48.5,15:1
2024-2025,3220,Idalia RJ-3,150,15.7,10:1
2024-2025,3230,Liberty J-4,76,10.6,7:1
2024-2025,8001,Charter School Institute,21122,1171.9,18:1
2024-2025,9000,Colorado School for the Deaf and Blind,167,30.6,5:1
2024-2025,9035,Centennial BOCES,122,12.1,10:1
2024-2025,9050,San Juan BOCES,54,5.2,10:1
2024-2025,9130,Expeditionary BOCES,382,23.6,16:1
2024-2025,9170,Education reEnvisioned BOCES,10312,244.6,42:1
2024-2025,9175,Colorado River BOCES,181,12.9,14:1
