School Year,LEA,LEA Name,Position Category,"American Indian or Alaska Native
Female","American Indian or Alaska Native
Male","American Indian or Alaska Native
Nonbinary","American Indian or Alaska Native
Total","Asian
Female","Asian
Male","Asian
Nonbinary","Asian
Total","Black or African American
Female","Black or African American
Male","Black or African American
Nonbinary","Black or African American
Total","Hispanic or Latino
Female","Hispanic or Latino
Male","Hispanic or Latino
Nonbinary","Hispanic or Latino
Total","Native Hawaiian or Other Pacific Islander
Female","Native Hawaiian or Other Pacific Islander
Male","Native Hawaiian or Other Pacific Islander
Nonbinary","Native Hawaiian or Other Pacific Islander
Total","Two or More Races
Female","Two or More Races
Male","Two or More Races 
Nonbinary","Two or More Races 
Total","White
Female","White
Male","White
Nonbinary","White
Total",Total Teachers
2024-2025,0010,Mapleton 1,Teacher,0,0,0,0,4,2,0,6,5,4,0,9,54,18,0,72,5,0,0,5,1,0,0,1,231,88,2,321,414
2024-2025,0020,Adams 12 Five Star Schools,Teacher,7,0,0,7,26,6,0,32,6,5,0,11,162,49,0,211,0,0,0,0,23,7,0,30,1332,422,5,1759,2050
2024-2025,0030,Adams County 14,Teacher,2,1,0,3,19,6,0,25,10,8,0,18,82,27,0,109,0,0,0,0,0,0,0,0,122,53,0,175,330
2024-2025,0040,School District 27J,Teacher,9,6,0,15,18,5,0,23,10,4,0,14,95,40,0,135,5,1,0,6,7,1,0,8,800,230,0,1030,1231
2024-2025,0050,Bennett 29J,Teacher,0,0,0,0,0,1,0,1,3,2,0,5,6,2,0,8,1,0,0,1,0,0,0,0,60,18,0,78,93
2024-2025,0060,Strasburg 31J,Teacher,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,8,0,0,0,0,0,0,0,0,48,11,0,59,67
2024-2025,0070,Westminster Public Schools,Teacher,0,0,0,0,6,4,0,10,4,3,0,7,57,6,0,63,0,0,0,0,8,2,0,10,254,83,0,337,427
2024-2025,0100,Alamosa RE-11J,Teacher,0,0,0,0,0,0,0,0,0,0,0,0,36,14,0,50,0,0,0,0,0,0,0,0,61,25,0,86,136
2024-2025,0110,Sangre De Cristo Re-22J,Teacher,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,14,8,0,22,25
2024-2025,0120,Englewood 1,Teacher,1,0,0,1,0,0,0,0,0,0,0,0,16,1,0,17,0,0,0,0,0,0,0,0,106,46,0,152,170
2024-2025,0123,Sheridan 2,Teacher,1,0,0,1,0,0,0,0,0,0,0,0,5,3,0,8,0,0,0,0,0,0,0,0,44,16,0,60,69
2024-2025,0130,Cherry Creek 5,Teacher,6,1,0,7,61,20,0,81,57,33,0,90,205,74,2,281,0,1,0,1,61,14,1,76,2122,615,0,2737,3273
2024-2025,0140,Littleton 6,Teacher,3,2,0,5,9,1,0,10,2,3,0,5,31,6,0,37,0,0,0,0,8,0,0,8,569,150,0,719,784
2024-2025,0170,Deer Trail 26J,Teacher,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,26,28
