LEA,LEA Name,Charter Total FTE,CharterAverage Salary,Non-Charter Total FTE,Average Teacher Salary,All Schools Total FTE,All Schools Average Salary,
0010,Mapleton 1,0.0,0,404.6,"84,216",404.6,"84,216",
0020,Adams 12 Five Star Schools,192.1,"45,750",1827.4,"78,778",2019.5,"75,637",
0030,Adams County 14,0.0,0,318.9,"77,089",318.9,"77,089",
0040,School District 27J,143.2,"48,838",1087.8,"76,638",1231.0,"73,403",
0050,Bennett 29J,24.0,"65,358",67.0,"53,818",91.0,"56,864",
0060,Strasburg 31J,0.0,0,66.7,"54,322",66.7,"54,322",
0070,Westminster Public Schools,0.0,0,428.4,"82,703",428.4,"82,703",
0100,Alamosa RE-11J,0.0,0,134.1,"65,144",134.1,"65,144",
0110,Sangre De Cristo Re-22J,0.0,0,24.9,"48,728",24.9,"48,728",
0120,Englewood 1,0.0,0,165.7,"72,803",165.7,"72,803",
0123,Sheridan 2,0.0,0,68.1,"71,797",68.1,"71,797",
0130,Cherry Creek 5,71.0,"63,381",3142.7,"95,145",3213.7,"94,443",
0140,Littleton 6,71.6,"67,806",694.7,"87,220",766.3,"85,405",
0170,Deer Trail 26J,0.0,0,28.0,"54,724",28.0,"54,724",
0180,Adams-Arapahoe 28J,412.4,"66,254",1926.0,"81,538",2338.4,"78,843",
0190,Byers 32J,0.0,0,166.7,"55,175",166.7,"55,175",
0220,Archuleta County 50 Jt,8.6,"34,610",104.2,"62,978",112.8,"60,820",
0230,Walsh RE-1,0.0,0,16.4,"38,887",16.4,"38,887",
0240,Pritchett RE-3,0.0,0,9.6,"42,668",9.6,"42,668",
0250,Springfield RE-4,0.0,0,29.8,"45,415",29.8,"45,415",
0260,Vilas RE-5,0.0,0,8.0,"36,763",8.0,"36,763",
0270,Campo RE-6,0.0,0,5.7,"47,180",5.7,"47,180",
0290,Las Animas RE-1,0.0,0,37.0,"52,971",37.0,"52,971",
0310,McClave Re-2,0.0,0,19.9,"49,380",19.9,"49,380",
0470,St Vrain Valley RE1J,235.9,"56,473",1720.7,"85,682",1956.7,"82,160",
0480,Boulder Valley Re 2,145.5,"78,594",1446.1,"101,831",1591.6,"99,707",
0490,Buena Vista R-31,0.0,0,73.4,"54,869",73.4,"54,869",
