District Code,District Name,ELA,Math,Attendance Rate,Truancy Rate,PK-12 Count,Teacher FTE,Percent Minority,Percent Female,Percent Male,Percent Non-Binary,Average Teacher Salary,Percent Teacher Minority,Staff Turnover Rate,Federal Funding Per Pupil,State/Local Funding Per Pupil,Student Teacher Ratio,Total Funding Per Pupil
10,Mapleton 1,23.9,17.0,0.905,0.05,7095,404.6,0.875,0.499,0.501,0.0,84216.0,0.2246376811594203,0.1961,525.0,14362.0,17.535837864557585,14887.0
20,Adams 12 Five Star Schools,42.2,34.2,0.9,0.05,34466,2019.5,0.608,0.484,0.515,0.0008,78778.0,0.14195121951219514,0.18359999999999999,1008.0,14877.0,17.066600643723692,15885.0
30,Adams County 14,12.9,8.6,0.879,0.091,5221,318.9,0.924,0.466,0.534,0.0,77089.0,0.4696969696969697,0.2577,1988.0,15753.0,16.371903417999373,17741.0
40,School District 27J,32.4,25.2,0.914,0.038,24014,1231.0,0.635,0.486,0.514,0.0001,76638.0,0.16328188464662874,0.1863,440.0,10788.0,19.507717303005688,11228.0
50,Bennett 29J,27.7,17.6,0.924,0.027999999999999997,1793,91.0,0.619,0.48100000000000004,0.519,0.0,53818.0,0.16129032258064513,0.34149999999999997,481.0,13661.0,19.703296703296704,14142.0
60,Strasburg 31J,35.3,30.1,0.919,0.015,1180,66.7,0.444,0.48100000000000004,0.519,0.0,54322.0,0.11940298507462688,0.2515,213.0,12727.0,17.691154422788603,12940.0
70,Westminster Public Schools,22.8,15.1,0.89,0.081,7724,428.4,0.866,0.49200000000000005,0.508,0.0,82703.0,0.2107728337236534,0.1852,1252.0,17194.0,18.029878618113912,18446.0
100,Alamosa RE-11J,33.6,20.2,0.93,0.018000000000000002,2038,139.1,0.6970000000000001,0.485,0.515,0.0,65144.0,0.36764705882352944,0.14429999999999998,1284.0,13642.0,14.651329978432782,14926.0
110,Sangre De Cristo Re-22J,61.5,31.6,0.929,0.012,256,24.9,0.254,0.469,0.531,0.0,48728.0,0.12,0.2115,1219.0,14785.0,10.281124497991968,16004.0
120,Englewood 1,33.6,23.9,0.885,0.06,2406,165.7,0.562,0.47,0.53,0.0,72803.0,0.10588235294117643,0.23379999999999998,1580.0,16067.0,14.52021726010863,17647.0
123,Sheridan 2,10.4,4.9,0.904,0.057999999999999996,1018,68.1,0.8690000000000001,0.493,0.507,0.0,71797.0,0.13043478260869568,0.39039999999999997,5163.0,20247.0,14.948604992657858,25410.0
130,Cherry Creek 5,48.2,42.8,0.92,0.028999999999999998,52672,3213.7,0.552,0.48,0.519,0.0012,95145.0,0.16376413076688057,0.1693,732.0,16283.0,16.38983103587765,17015.0
140,Littleton 6,61.9,54.3,0.937,0.017,13110,766.3,0.27699999999999997,0.485,0.515,0.0,87220.0,0.08290816326530615,0.19039999999999999,502.0,16228.0,17.108182174083257,16730.0
